id,tipo,titulo,descricao,autor,data,duracao,origem,rito,grau,ordem,tags,url,youtube_id,thumbnail,transcricao_status,acesso,perguntas_aprofundamento,publicado_por,publicado_em,anexos
video-RONmmVHZdds,video,A Cabala no Templo Adonhiramita,,Sérgio Emilião,2025-06-04,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=RONmmVHZdds,RONmmVHZdds,https://img.youtube.com/vi/RONmmVHZdds/hqdefault.jpg,pendente,,,,,
video-vmweHHQyI3c,video,"Sério Ouro 2 (FRANCISCO RORATO, JOSÉ DE SOUZA MARQUES, XICO TROLHA)",,,2025-06-18,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=vmweHHQyI3c,vmweHHQyI3c,https://img.youtube.com/vi/vmweHHQyI3c/hqdefault.jpg,pendente,,,,,
video-B_X-pXOUUx8,video,"São João, o Patrono da Maçonaria",,Sérgio Emilião,2025-06-25,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=B_X-pXOUUx8,B_X-pXOUUx8,https://img.youtube.com/vi/B_X-pXOUUx8/hqdefault.jpg,pendente,,,,,
video-V79X1rhraMM,video,Dos Modernos aos Antigos e a Grande Loja Unida da Inglaterra,,Rubens Caldeira Monteiro,2025-07-02,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=V79X1rhraMM,V79X1rhraMM,https://img.youtube.com/vi/V79X1rhraMM/hqdefault.jpg,pendente,,,,,
video-cfmctlkazYo,video,Alexandre de Gusmão e o Tratado de Madrid,,Miguel José Nuske,2025-07-09,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=cfmctlkazYo,cfmctlkazYo,https://img.youtube.com/vi/cfmctlkazYo/hqdefault.jpg,pendente,,,,,
video--eMbLZzeejw,video,Maçonaria: uma reflexão necessária,,Fuad Haddad,2025-07-16,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=-eMbLZzeejw,-eMbLZzeejw,https://img.youtube.com/vi/-eMbLZzeejw/hqdefault.jpg,pendente,,,,,
video-6tfVXdFcKuM,video,Spinoza não é para ser lido é para ser estudado,,Roberto Zardo,2025-07-23,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=6tfVXdFcKuM,6tfVXdFcKuM,https://img.youtube.com/vi/6tfVXdFcKuM/hqdefault.jpg,pendente,,,,,
video-HjWLHHol9HE,video,Inteligência Artificial na Maçonaria,,Marcelo Augusto Corsini,2025-07-30,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=HjWLHHol9HE,HjWLHHol9HE,https://img.youtube.com/vi/HjWLHHol9HE/hqdefault.jpg,pendente,,,,,
video-lLmlcE8-W_0,video,https://youtu.be/lLmlcE8-W_0 Qual o Segredo das Pirâmides do Egito?,,Miguel José Nuske,2025-08-06,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=lLmlcE8-W_0,lLmlcE8-W_0,https://img.youtube.com/vi/lLmlcE8-W_0/hqdefault.jpg,pendente,,,,,
video-kftUaXWfcCA,video,obre a Quinta Instrução,,Mardônio Júnior Matos Duarte,2025-08-13,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=kftUaXWfcCA,kftUaXWfcCA,https://img.youtube.com/vi/kftUaXWfcCA/hqdefault.jpg,pendente,,,,,
video--SpDY3vtdLc,video,Maçom,,Aldino Brasil de Souza,2025-08-20,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=-SpDY3vtdLc,-SpDY3vtdLc,https://img.youtube.com/vi/-SpDY3vtdLc/hqdefault.jpg,pendente,,,,,
video-XMDZyTIu8es,video,O Quarto de Hora de Instrução no Rito Adonhiramita,,Sérgio Emilião,2025-09-03,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=XMDZyTIu8es,XMDZyTIu8es,https://img.youtube.com/vi/XMDZyTIu8es/hqdefault.jpg,pendente,,,,,
video-bgxAskNQeLM,video,Pense com Clareza e Aja com Foco,,Aureo Zanotta Villagra,2025-09-10,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=bgxAskNQeLM,bgxAskNQeLM,https://img.youtube.com/vi/bgxAskNQeLM/hqdefault.jpg,pendente,,,,,
video-KaAH3S-8Zw8,video,As Evoluções Ritualísticas do Rito Moderno ou Francês nos Séculos XVIII e XIX,,Gustavo Vernaschi Patuto,2025-09-17,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=KaAH3S-8Zw8,KaAH3S-8Zw8,https://img.youtube.com/vi/KaAH3S-8Zw8/hqdefault.jpg,pendente,,,,,
video-5TvqGNFGMyM,video,"Além do Simbolismo da Maçonaria no Brasil: alguns graus, ordens e ritos",,Rubens Caldeira Monteiro,2025-09-24,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=5TvqGNFGMyM,5TvqGNFGMyM,https://img.youtube.com/vi/5TvqGNFGMyM/hqdefault.jpg,pendente,,,,,
video-vbA9-LtQg3s,video,Aprendizados Estoicos Maçônicos,,Roberto Zardo,2025-10-01,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=vbA9-LtQg3s,vbA9-LtQg3s,https://img.youtube.com/vi/vbA9-LtQg3s/hqdefault.jpg,pendente,,,,,
video-FsWCo-htQJk,video,Breve História do Rito Adonhiramita,,Sérgio Emilião,2025-10-08,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=FsWCo-htQJk,FsWCo-htQJk,https://img.youtube.com/vi/FsWCo-htQJk/hqdefault.jpg,pendente,,,,,
video-89JpfxGJLMs,video,ORDO AB CHAO X GESTÃO MAÇÔNICA,,Fuad Haddad,2025-10-15,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=89JpfxGJLMs,89JpfxGJLMs,https://img.youtube.com/vi/89JpfxGJLMs/hqdefault.jpg,pendente,,,,,
video-ME0Yofv2rSw,video,Algumas Considerações sobre os Landmarks de Mackey,,"Júlio Nahuz,",2025-10-22,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=ME0Yofv2rSw,ME0Yofv2rSw,https://img.youtube.com/vi/ME0Yofv2rSw/hqdefault.jpg,pendente,,,,,
video-ULXTN_Jx2Bg,video,O Padrinho (The Godfather) Fuad Haddad,,Edição Especial de Colecionador 1972-2025 53 Anos,2025-10-29,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=ULXTN_Jx2Bg,ULXTN_Jx2Bg,https://img.youtube.com/vi/ULXTN_Jx2Bg/hqdefault.jpg,pendente,,,,,
video-4JEXbRbUVKw,video,O Avental no Rito Adonhiramita,,Sérgio Emilião,2025-11-12,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=4JEXbRbUVKw,4JEXbRbUVKw,https://img.youtube.com/vi/4JEXbRbUVKw/hqdefault.jpg,pendente,,,,,
video-y2As3xXnDRo,video,As Bandeiras Históricas no Brasil,,José Airton de Carvalho,2025-11-19,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=y2As3xXnDRo,y2As3xXnDRo,https://img.youtube.com/vi/y2As3xXnDRo/hqdefault.jpg,pendente,,,,,
video-mTFV7wXuxZo,video,SINDICÂNCIA MAÇÔNICA: COMO REALIZÁ-LA,,Fuad Haddad,2025-11-26,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=mTFV7wXuxZo,mTFV7wXuxZo,https://img.youtube.com/vi/mTFV7wXuxZo/hqdefault.jpg,pendente,,,,,
video-59aqd1yuiQY,video,5ª INSTRUÇÃO DO APRENDIZ,,Manuel de Magalhães Pereira,2025-12-03,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=59aqd1yuiQY,59aqd1yuiQY,https://img.youtube.com/vi/59aqd1yuiQY/hqdefault.jpg,pendente,,,,,
video-fDE6a5-NhR0,video,"*CAPELA SISTINA: onde o homem toca o divino através da arte, da consciência, pelo simbolismo da Criação da Luz e do despertar do espírito humano",,Frederico Marchetti,2025-12-10,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=fDE6a5-NhR0,fDE6a5-NhR0,https://img.youtube.com/vi/fDE6a5-NhR0/hqdefault.jpg,pendente,,,,,
video-j-Z0Q1DRej4,video,https://youtu.be/j-Z0Q1DRej4 A INICIAÇÃO NO RITO ADONHIRAMITA - PARTE I,,Sérgio Emilião,2025-12-17,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=j-Z0Q1DRej4,j-Z0Q1DRej4,https://img.youtube.com/vi/j-Z0Q1DRej4/hqdefault.jpg,pendente,,,,,
video-FtYaZR-aYX4,video,ARQUÉTIPOS E A MAÇONARIA,,Mauro Leray,2026-01-07,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=FtYaZR-aYX4,FtYaZR-aYX4,https://img.youtube.com/vi/FtYaZR-aYX4/hqdefault.jpg,pendente,,,,,
video-Fus5xViPGCM,video,O PAINEL DE APRENDIZ NO RITO MODERNO,,Cledson Cardoso,2026-01-14,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=Fus5xViPGCM,Fus5xViPGCM,https://img.youtube.com/vi/Fus5xViPGCM/hqdefault.jpg,pendente,,,,,
video-CO_yR_rY9kY,video,A INICIAÇÃO NO RITO ADONHIRAMITA - PARTE II,,Sérgio Emilião,2026-01-21,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=CO_yR_rY9kY,CO_yR_rY9kY,https://img.youtube.com/vi/CO_yR_rY9kY/hqdefault.jpg,pendente,,,,,
video-JPgA54eRBuQ,video,ECLESIASTES,,Rogério Borges Pascoal,2026-01-28,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=JPgA54eRBuQ,JPgA54eRBuQ,https://img.youtube.com/vi/JPgA54eRBuQ/hqdefault.jpg,pendente,,,,,
video-P4y7fiCb7jo,video,UNIÃO,,Miguel José Nuske,2026-02-04,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=P4y7fiCb7jo,P4y7fiCb7jo,https://img.youtube.com/vi/P4y7fiCb7jo/hqdefault.jpg,pendente,,,,,
video-xVRJEaQCFM4,video,https://youtu.be/xVRJEaQCFM4 POR QUÊ REALIZAR OS ALTOS GRAUS,,Oduwaldo Alvaro,2026-02-11,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=xVRJEaQCFM4,xVRJEaQCFM4,https://img.youtube.com/vi/xVRJEaQCFM4/hqdefault.jpg,pendente,,,,,
video-EUirUEo6v9Q,video,A INICIAÇÃO NO RITO ADONHIRAMITA - PARTE III,,Sérgio Emilião,2026-02-18,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=EUirUEo6v9Q,EUirUEo6v9Q,https://img.youtube.com/vi/EUirUEo6v9Q/hqdefault.jpg,pendente,,,,,
video-sfjW1I_rvHw,video,PIKE: O HOMEM E AS OBRAS,,Rogério Borges Pascoal,2026-02-25,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=sfjW1I_rvHw,sfjW1I_rvHw,https://img.youtube.com/vi/sfjW1I_rvHw/hqdefault.jpg,pendente,,,,,
video-P5hbYxHYxTI,video,A HISTÓRIA DE MINAS GERAIS,,Geraldo Ribeiro da Fonseca,2026-03-04,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=P5hbYxHYxTI,P5hbYxHYxTI,https://img.youtube.com/vi/P5hbYxHYxTI/hqdefault.jpg,pendente,,,,,
video-YZCIOHt4mqU,video,MESTRE DE CERIMÔNIAS NA MAÇONARIA,,Fuad Haddad,2026-03-11,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=YZCIOHt4mqU,YZCIOHt4mqU,https://img.youtube.com/vi/YZCIOHt4mqU/hqdefault.jpg,pendente,,,,,
video-pXxAdoU9TCY,video,A ORDEM DO DIA NO RITO ADONHIRAMITA,,Sérgio Emilião,2026-03-18,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=pXxAdoU9TCY,pXxAdoU9TCY,https://img.youtube.com/vi/pXxAdoU9TCY/hqdefault.jpg,pendente,,,,,
video-nyPNfM4ZzBI,video,"TEMPO, DECIFRA-ME OU TE DEVORO! QUAL É O TEMPO PARA O MAÇOM?",,Roberto Zardo,2026-04-01,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=nyPNfM4ZzBI,nyPNfM4ZzBI,https://img.youtube.com/vi/nyPNfM4ZzBI/hqdefault.jpg,pendente,,,,,
video-ol9LYeGBDks,video,PROVÉRBIOS,,Rogério Borges Pascoal,2026-04-08,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=ol9LYeGBDks,ol9LYeGBDks,https://img.youtube.com/vi/ol9LYeGBDks/hqdefault.jpg,pendente,,,,,
video-6VFDD7FZJQk,video,PECULIARIDADES DO RITO ADONHIRAMITA,,Sérgio Emilião,2026-04-15,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=6VFDD7FZJQk,6VFDD7FZJQk,https://img.youtube.com/vi/6VFDD7FZJQk/hqdefault.jpg,pendente,,,,,
video-9xY7ok-7U30,video,A PRIVACIDADE DOS DADOS PESSOAIS NA SOCIEDADE E NA MAÇONARIA,,Gabriel Ferreira Ramos da Conceição,2026-04-22,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=9xY7ok-7U30,9xY7ok-7U30,https://img.youtube.com/vi/9xY7ok-7U30/hqdefault.jpg,pendente,,,,,
video-8DgCB9ET9hQ,video,O TRABALHO DO MAÇOM,,Fuad Haddad,2026-04-29,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=8DgCB9ET9hQ,8DgCB9ET9hQ,https://img.youtube.com/vi/8DgCB9ET9hQ/hqdefault.jpg,pendente,,,,,
video-vGcJnKIj504,video,TEHILIN - SALMOS,,Rogério Borges Pascoal,2026-05-06,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=vGcJnKIj504,vGcJnKIj504,https://img.youtube.com/vi/vGcJnKIj504/hqdefault.jpg,pendente,,,,,
video-CCV-nQ5Nm9g,video,HISTORICIDADE DO RITO ADONHIRAMITA,,Sérgio Emilião,2026-05-13,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=CCV-nQ5Nm9g,CCV-nQ5Nm9g,https://img.youtube.com/vi/CCV-nQ5Nm9g/hqdefault.jpg,pendente,,,,,
video-ZihXsogIyl4,video,EPÍTOME HISTÓRICA DO REAA - PARTE I,,Fuad Haddad,2026-05-20,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=ZihXsogIyl4,ZihXsogIyl4,https://img.youtube.com/vi/ZihXsogIyl4/hqdefault.jpg,pendente,,,,,
video-3aXMJf8cMcM,video,JÓ,,Rogério Borges Pascoal,2026-06-03,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=3aXMJf8cMcM,3aXMJf8cMcM,https://img.youtube.com/vi/3aXMJf8cMcM/hqdefault.jpg,pendente,,,,,
video-US9an_ssTk4,video,ÉTICA MAÇÔNICA NA ERA DA IA,,Leonard Takuya Muranaga,2026-06-10,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=US9an_ssTk4,US9an_ssTk4,https://img.youtube.com/vi/US9an_ssTk4/hqdefault.jpg,pendente,,,,,
video-7wtCs5pv4UM,video,AS,,VIRTUDES CARDEAIS,2026-07-01,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=7wtCs5pv4UM,7wtCs5pv4UM,https://img.youtube.com/vi/7wtCs5pv4UM/hqdefault.jpg,pendente,,,,,
video-woqpXQGjtNQ,video,CÂNTICO DOS CÂNTICOS,,Rogério Borges Pascoal,2026-07-08,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=woqpXQGjtNQ,woqpXQGjtNQ,https://img.youtube.com/vi/woqpXQGjtNQ/hqdefault.jpg,pendente,,,,,
video-P2QlD3WFNFc,video,LIVROS JUDAICOS,,Antonio Aldrighi Ceron Filho,2026-04-05,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=P2QlD3WFNFc,P2QlD3WFNFc,https://img.youtube.com/vi/P2QlD3WFNFc/hqdefault.jpg,pendente,,,,,
video-79xVMnjj8MM,video,FILOSOFIA PERENE - 3ª PARTE,,Roberto Zardo,2026-04-12,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=79xVMnjj8MM,79xVMnjj8MM,https://img.youtube.com/vi/79xVMnjj8MM/hqdefault.jpg,pendente,,,,,
video-YwYX-U0wwlc,video,A MAÇONARIA NOS TEMPOS DA INTELIGÊNCIA ARTIFICIAL,,Cledson Cardoso,2026-04-19,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=YwYX-U0wwlc,YwYX-U0wwlc,https://img.youtube.com/vi/YwYX-U0wwlc/hqdefault.jpg,pendente,,,,,
video-b8zdS4qZ6xc,video,TEOGONIA EGÍPCIA,,Heidi Lopes Sartorello Mathias & Amilcar Alabarce Mathias,2026-04-26,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=b8zdS4qZ6xc,b8zdS4qZ6xc,https://img.youtube.com/vi/b8zdS4qZ6xc/hqdefault.jpg,pendente,,,,,
video-JqKTGDyRZXE,video,FRACTALIDADE E GEOMETRIA SAGRADA NO COTIDIANO MAÇÔNICO,,Jonilson Bogéa,2026-05-03,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=JqKTGDyRZXE,JqKTGDyRZXE,https://img.youtube.com/vi/JqKTGDyRZXE/hqdefault.jpg,pendente,,,,,
video-bbH541f2TwA,video,"EU, ESPERANÇA. 4 ANOS DEPOIS",,Domingos Léo Monteiro,2026-05-10,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=bbH541f2TwA,bbH541f2TwA,https://img.youtube.com/vi/bbH541f2TwA/hqdefault.jpg,pendente,,,,,
video-u9lkA6jbDjo,video,SOBRE O AMOR,,Sérgio Viana Villa,2026-05-17,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=u9lkA6jbDjo,u9lkA6jbDjo,https://img.youtube.com/vi/u9lkA6jbDjo/hqdefault.jpg,pendente,,,,,
video-iYoEez6TYhc,video,HISTÓRIA DE LOJAS CENTENÁRIAS:,,REGENERAÇÃO BARBACENENSE GeraldoRFonseca,2026-05-24,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=iYoEez6TYhc,iYoEez6TYhc,https://img.youtube.com/vi/iYoEez6TYhc/hqdefault.jpg,pendente,,,,,
video-LpJTNY0A1Ts,video,FILOSOFIA PERENE - 4ª PARTE,,Roberto Zardo,2026-05-31,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=LpJTNY0A1Ts,LpJTNY0A1Ts,https://img.youtube.com/vi/LpJTNY0A1Ts/hqdefault.jpg,pendente,,,,,
video-jnIg0-mmSHg,video,A ORIGEM DE DEUS - EL/ELOHIM/IAHWEH,,Adnan Neser,2026-06-07,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=jnIg0-mmSHg,jnIg0-mmSHg,https://img.youtube.com/vi/jnIg0-mmSHg/hqdefault.jpg,pendente,,,,,
video-JNaSH7FxqCY,video,LENDAS ARTHURIANAS - refleAÇÕES!,,Roberto Zardo,2026-06-14,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=JNaSH7FxqCY,JNaSH7FxqCY,https://img.youtube.com/vi/JNaSH7FxqCY/hqdefault.jpg,pendente,,,,,
video-lNP5o9goZNk,video,MARCO AURÉLIO - O HOMEM E A OBRA,,Cláudio Melo,2026-06-21,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=lNP5o9goZNk,lNP5o9goZNk,https://img.youtube.com/vi/lNP5o9goZNk/hqdefault.jpg,pendente,,,,,
video-SpZ1Dww9R3s,video,A MORAL EM ADAM SMITH E OS FILÓSOFOS DO LIBERALISMO,,Oduwaldo Alvaro,2026-06-28,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=SpZ1Dww9R3s,SpZ1Dww9R3s,https://img.youtube.com/vi/SpZ1Dww9R3s/hqdefault.jpg,pendente,,,,,
video-XjSWU8OQgPk,video,MAÇONARIA COMO RELIGIÃO FILOSÓFICA,,Cídio Lopes de Almeida,2026-07-05,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=XjSWU8OQgPk,XjSWU8OQgPk,https://img.youtube.com/vi/XjSWU8OQgPk/hqdefault.jpg,pendente,,,,,
video-3HcNdxBe-Yc,video,TRIVIUM E QUADRIVIUM PARA APRENDIZES,,Roberto Gonzalez,2026-07-12,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=3HcNdxBe-Yc,3HcNdxBe-Yc,https://img.youtube.com/vi/3HcNdxBe-Yc/hqdefault.jpg,pendente,,,,,
