youtube_id,anexos,tags,autor
1LletNOo_PY,,estudo maçônico,
K3q9qsFM-JQ,Prancha|https://drive.google.com/file/d/1T22srxLzngP4wNR5Btv2JeMr82MLsvTu/view,simbolismo; instrumentos,
ttdJuwljYnI,,estudo maçônico,Ricardo Berdu
Vj2WOBY6tV0,Prancha|https://drive.google.com/file/d/1izPC1_JwQhCzlUz7o8Vo6WxpIJjG2flC/view,instrumentos,
-726gWQogE8,Prancha|https://drive.google.com/file/d/1yNCKvKm7PH9kCtEQctKKZHyonxzriXT1/view,estudo maçônico,
vVXhckCpHVU,Prancha|https://drive.google.com/file/d/1faOtcD8QebUdb7_jy8aB4Y6mNUMnCXot/view,estudo maçônico,
B0yq2GFwZFA,Prancha|https://drive.google.com/file/d/1aMYgmxTugcQg5IEccgpWa0pSFauDBwu8/view,simbolismo; história; instrumentos,
4eKA6oUqOIg,Prancha|https://drive.google.com/file/d/1UQm581TpvyIXqVCuvW4vpjpb2-SD6Xzq/view,simbolismo; instrumentos,
tOXpP8l57KY,Prancha|https://drive.google.com/file/d/1VcyQ16KmXXJW2CO7f8kPO5_5H53Xn02y/view,filosofia; instrumentos,
pIMBukAGeJU,Prancha|https://drive.google.com/file/d/1TW7sem1I8nnHuPdCgkQQ7kTqa4MmSpQ0/view,instrumentos,
WKbl-YqBAk8,,instrumentos,
DaNG-EvrwCI,,instrumentos; ordens,
fPTswT9CX8I,Prancha|https://drive.google.com/file/d/1smT6qx75mZc6vTExRCbaosERf-abrsRr/view,instrumentos,
YpPmsfbnKBk,Prancha|https://drive.google.com/file/d/1Qt1AKcNr0BK4UidqBIdYm82aSfDq47u0/view,instrumentos,
QzbKrXNpsZ4,Prancha|https://drive.google.com/file/d/1QMZ3YVo4DXGWRg9ydcSH0sHtiuviPL3I/view,instrumentos; caridade,
JysWVfA3RVo,,templários; DeMolay,
YfQe_1mocoQ,Prancha|https://drive.google.com/file/d/1P2e8WAK15jpPRlfpTPnzRKRqTbiZ9oMD/view,ética; instrumentos,
MxZqsxts3hc,Prancha|https://drive.google.com/file/d/1ziLr_ZPg_d2PpE08Ae0OfSXuGQcDKQJD/view,instrumentos; filosofia,
Ohv9sTESTvc,Prancha|https://drive.google.com/file/d/1oatR38qiCNRNndze7xXYOVyx3ma7vtdT/view,estudo maçônico,
nDdDN_Bwb5k,Prancha|https://drive.google.com/file/d/13gRpmRwpHq_L7oRE8YnEFwIQyzkdpIYx/view,simbolismo,
T0pnNHV2WoQ,Prancha|https://drive.google.com/file/d/1qOyAcf_WRAEZ8LDMi2jjWBWoh8jB_OHK/view,landmarks; instrumentos,
jxVDZzqJdR8,Prancha|https://drive.google.com/file/d/1tPs7a0SnQ_vXk-WwJck0G2MXfuTGdLnF/view,ética,
zOPDrjVqHuo,Prancha|https://drive.google.com/file/d/1qUIbMGLNVJxS98I21fvz-7x5pudJz6gs/view,instrumentos; filosofia,
fgJAQ3Opq2M,Prancha|https://drive.google.com/file/d/1kLXl0dnA0H11bakg3nwod2O0zBXR9Idy/view,instrumentos; simbolismo,
9Qo0kLPA00Y,,ética,Márcio Silva
adQza9RXoSc,,estudo maçônico,Paulo Careta
EPktXJI2530,Prancha|https://drive.google.com/file/d/1DvCnubiF6XRysxYq_ClTU71mGGDYxA4t/view,estudo maçônico,
NGNGVlokm-0,Prancha|https://drive.google.com/file/d/1kQCrRws5bKvVzNOofvMz0BClxAVAEr3-/view,ética; instrumentos,
pCS_GHeDlNg,,instrumentos,
VvbEsQK8U58,,história,Roberto Souza Gonzalez
UmqNcfAaFK4,,DeMolay,Marcio Silva
2V4BR5n__LA,Prancha|https://drive.google.com/file/d/1dyplTF3u0r3Q8NiEyI9Q0reiaP1UvMOV/view,instrumentos; ritualística,
pxNO3bwpT3M,Prancha|https://drive.google.com/file/d/1gSjYaXVhTia5i0LfZE_ZBmjr45bH8H1Z/view,simbolismo; instrumentos,
1hloTol4VGI,Prancha|https://drive.google.com/file/d/1Y_Y4ZrtNR0HBpoA_GXBt5zhAApcTHmnO/view,instrumentos; ritualística,
1mHFEF9d564,Prancha|https://drive.google.com/file/d/1Tg8OOubMrd8jNCVrhtXPRbx5COOW0tSg/view,instrumentos; simbolismo,
VVwSsEsVEgA,Prancha|https://drive.google.com/file/d/19JU7j0dbTmlRFQdwN5pxMv_IX9Mink-K/view,instrumentos,
PGtIV-COj2Y,Prancha|https://drive.google.com/file/d/1km1g8iyGfQm5H1Py_TkbFIBWNePMRkej/view,instrumentos; ritualística,
0L5FUQxIjvI,Prancha|https://drive.google.com/file/d/11qdpw9PMqUmD0XX9p8DYscSZsjGkh3n0/view,simbolismo; instrumentos,
cMzMCaKVSns,Prancha|https://drive.google.com/file/d/1uO6O8FCgDf4i0VRctG1lzE5bF6Ncj09s/view,instrumentos,
gNGRmqEmDqY,,instrumentos,
hvwnooOen5k,,instrumentos,
uhaZ2PW6EvA,,landmarks; instrumentos,Oduwaldo Álvaro
PlEsf3eZY4U,,REAA; grau de aprendiz,
ZFbColvnCq8,,história,Márcio Silva
hQhCQCZ8n8o,Prancha|https://drive.google.com/file/d/1fyGmL7NjDCKwdF77F_e1SXPdJUnJThIq/view,instrumentos,
Rzw3SSbpxbo,,rito,
725aTz-6jp0,,iniciação,
Uvud3P4KMec,,iniciação,Márcio Silva
Qt3MN6Nor84,,estudo maçônico,
0a_8lGK0DuU,,estudo maçônico,Ronaldo Fernandes
oNkeLmTUlTw,,instrumentos,Erivelto Sousa
HNWF_92hPEw,,grau de mestre; instrumentos,Fuad Haddad
9VaopK41e0c,,ciência,Márcio Latorraca
EZPlVN_RyQw,,estudo maçônico,Nilton Beloti Filho
u4YEE5XDs5s,,estudo maçônico,Rodrigo Rosenthal
gmlTqmkrtrQ,,instrumentos,Mario Vasconcelos
DfqytmAKU_g,,estudo maçônico,Manuel Pereira
l4SWAbWWbJw,,instrumentos,Márcio Silva
bSF7GI6JaZI,,instrumentos,José Maldonado Gualda
vdDSpCQW4Hw,,estudo maçônico,Márcio Silva
OFvMBC1_K2g,,estudo maçônico,Márcio Silva
DRlRl9ux20w,,ética,Márcio Silva
fut15ZjQKDk,,estudo maçônico,Gilson Mendonça
XPGHGI9f6hg,,instrumentos,Marcelo Corsini
Fr3KTMgXFyQ,,estudo maçônico,Márcio Silva
Toz3g2fizas,,estudo maçônico,Márcio Silva
gFZCwC40-Zc,,instrumentos,
W9EPXfH4AxQ,,instrumentos,
AxD70ztJwZk,,instrumentos; iniciação,
5sKInIrVxiM,,simbolismo; instrumentos,
WKwOyus8Nd8,,instrumentos,
78lkB-H2eno,,instrumentos,
KvR_dDnft2Q,,grau de mestre; instrumentos,Márcio Latorraca
imJU7qBYSc8,,instrumentos,
C9LlD7BAcEU,,estudo maçônico,Marcos A. P. Noronha
9xBj6dOnpr0,,iniciação,Rodrigo Rosenthal
ESctJa46wqk,,simbolismo; instrumentos,Oduwaldo Álvaro
pwcoe7HtuBw,,estudo maçônico,Márcio Silva
UqGPlrh64p4,,instrumentos,
sDeQbpR0ul8,,estudo maçônico,Fuad Haddad
HbuiJDJUVlA,,estudo maçônico,José Maldonado
